address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"3106 Leisure Ct, San Jose, CA 95132",95132,1475000.0,Sold 07/10/2019,1971,8001.0,SINGLE_FAMILY,4600,1019294.0,4,3.0,2510,37.39584,-121.851052,https://www.zillow.com/homedetails/3106-Leisure-Ct-San-Jose-CA-95132/19774085_zpid/,Sold
"1895 Gillian Way, San Jose, CA 95132",95132,1070001.0,Sold 07/09/2019,1973,6817.0,SINGLE_FAMILY,3500,322407.0,3,2.0,1320,37.406222,-121.874614,https://www.zillow.com/homedetails/1895-Gillian-Way-San-Jose-CA-95132/19771990_zpid/,Sold
"1808 Camargo Dr, San Jose, CA 95132",95132,1210005.0,Sold 07/09/2019,1971,6403.0,SINGLE_FAMILY,3395,517946.0,3,2.0,1365,37.404938,-121.87048,https://www.zillow.com/homedetails/1808-Camargo-Dr-San-Jose-CA-95132/19772157_zpid/,Sold
"3430 Cardoza Ct, San Jose, CA 95132",95132,1349000.0,Sold 07/09/2019,1973,11543.0,SINGLE_FAMILY,3990,1236240.0,3,2.0,1505,37.410449,-121.850791,https://www.zillow.com/homedetails/3430-Cardoza-Ct-San-Jose-CA-95132/19769288_zpid/,Sold
"1918 Conifer Ct, San Jose, CA 95132",95132,960000.0,Sold 07/08/2019,1968,7200.0,SINGLE_FAMILY,3695,76501.0,4,2.5,1786,37.413767,-121.862093,https://www.zillow.com/homedetails/1918-Conifer-Ct-San-Jose-CA-95132/19485955_zpid/,Sold
"3484 Prince Phillip Ct, San Jose, CA 95132",95132,785000.0,Sold 07/05/2019,1973,1028.0,CONDO,3400,514978.0,3,3.0,1474,37.413829,-121.852662,https://www.zillow.com/homedetails/3484-Prince-Phillip-Ct-San-Jose-CA-95132/19769208_zpid/,Sold
"2976 Lugano Way, San Jose, CA 95132",95132,1210000.0,Sold 07/05/2019,1970,5962.0,SINGLE_FAMILY,3565,141681.0,3,2.0,1513,37.392647,-121.852834,https://www.zillow.com/homedetails/2976-Lugano-Way-San-Jose-CA-95132/19773775_zpid/,Sold
"2667 Autumnvale Dr, San Jose, CA 95132",95132,925000.0,Sold 07/03/2019,1973,3900.0,SINGLE_FAMILY,3303,531569.0,3,3.0,1248,37.40661,-121.882535,https://www.zillow.com/homedetails/2667-Autumnvale-Dr-San-Jose-CA-95132/19486958_zpid/,Sold
"3645 Bloomsbury Way, San Jose, CA 95132",95132,1200000.0,Sold 07/03/2019,1976,6090.0,SINGLE_FAMILY,3595,329205.0,3,2.0,1372,37.415824,-121.853844,https://www.zillow.com/homedetails/3645-Bloomsbury-Way-San-Jose-CA-95132/19768988_zpid/,Sold
"3034 Balmoral Dr, San Jose, CA 95132",95132,1325000.0,Sold 07/03/2019,1972,6298.0,SINGLE_FAMILY,3750,339514.0,4,2.0,1806,37.405961,-121.865196,https://www.zillow.com/homedetails/3034-Balmoral-Dr-San-Jose-CA-95132/19769864_zpid/,Sold
"3617 Rowley Dr, San Jose, CA 95132",95132,1100000.0,Sold 07/03/2019,1970,6512.0,SINGLE_FAMILY,3600,671415.0,3,2.0,1412,37.419869,-121.858878,https://www.zillow.com/homedetails/3617-Rowley-Dr-San-Jose-CA-95132/19486632_zpid/,Sold
"1780 Queenstown Dr, San Jose, CA 95132",95132,1085000.0,Sold 07/01/2019,1972,7026.0,SINGLE_FAMILY,3500,78264.0,3,2.0,1577,37.405986,-121.862431,https://www.zillow.com/homedetails/1780-Queenstown-Dr-San-Jose-CA-95132/19769745_zpid/,Sold
"1481 Stubbins Way, San Jose, CA 95132",95132,1250000.0,Sold 07/01/2019,1973,6298.0,SINGLE_FAMILY,3550,74263.0,4,2.0,1598,37.399852,-121.860269,https://www.zillow.com/homedetails/1481-Stubbins-Way-San-Jose-CA-95132/19771313_zpid/,Sold
"1502 Old Piedmont Rd, San Jose, CA 95132",95132,1125000.0,Sold 06/28/2019,1961,6599.0,SINGLE_FAMILY,3695,81773.0,3,3.0,1928,37.408738,-121.846858,https://www.zillow.com/homedetails/1502-Old-Piedmont-Rd-San-Jose-CA-95132/19776913_zpid/,Sold
"3072 Zion Ln, San Jose, CA 95132",95132,1165000.0,Sold 06/28/2019,1964,6342.0,SINGLE_FAMILY,3950,78528.0,5,3.0,2244,37.398028,-121.853935,https://www.zillow.com/homedetails/3072-Zion-Ln-San-Jose-CA-95132/19771590_zpid/,Sold
"3194 Mattos Ave, San Jose, CA 95132",95132,1440000.0,Sold 06/28/2019,1970,6098.0,SINGLE_FAMILY,4250,971761.0,5,4.0,2231,37.403038,-121.85349,https://www.zillow.com/homedetails/3194-Mattos-Ave-San-Jose-CA-95132/19771246_zpid/,Sold
"1315 Venturi Dr # 3, San Jose, CA 95132",95132,850000.0,Sold 06/28/2019,2014,1300.0,CONDO,3200,662772.0,2,2.0,1464,37.391966,-121.86493,https://www.zillow.com/homedetails/1315-Venturi-Dr-3-San-Jose-CA-95132/122247097_zpid/,Sold
"2991 Hostetter Rd, San Jose, CA 95132",95132,1188000.0,Sold 06/27/2019,1972,6878.0,SINGLE_FAMILY,3750,765368.0,4,2.0,1598,37.402432,-121.862366,https://www.zillow.com/homedetails/2991-Hostetter-Rd-San-Jose-CA-95132/19770008_zpid/,Sold
"15221 Camelot Dr, San Jose, CA 95132",95132,925000.0,Sold 06/26/2019,-1,33600.0,LOT,3250,247280.0,0,,,37.402922,-121.837163,https://www.zillow.com/homedetails/15221-Camelot-Dr-San-Jose-CA-95132/153465964_zpid/,Sold
"15221 Camelot Dr, San Jose, CA 95132",95132,925000.0,Sold 06/26/2019,1958,36028.0,LOT,3475,195122.0,4,,2545,37.402922,-121.837163,https://www.zillow.com/homedetails/15221-Camelot-Dr-San-Jose-CA-95132/19776596_zpid/,Sold
"15221 Camelot Dr, San Jose, CA 95132",95132,925000.0,Sold 06/26/2019,-1,36030.0,LOT,3250,30224.0,0,,,37.402922,-121.837163,https://www.zillow.com/homedetails/15221-Camelot-Dr-San-Jose-CA-95132/153465963_zpid/,Sold
