address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"2356 Rupert Dr, San Jose, CA 95124",95124,1580000.0,Sold 07/11/2019,1976,6621.0,SINGLE_FAMILY,4600,886437.0,4,2.0,1868,37.257332,-121.945537,https://www.zillow.com/homedetails/2356-Rupert-Dr-San-Jose-CA-95124/19678169_zpid/,Sold
"2168 Rosswood Dr, San Jose, CA 95124",95124,1245000.0,Sold 07/10/2019,1956,7087.0,SINGLE_FAMILY,3900,265766.0,3,2.0,1288,37.243822,-121.937127,https://www.zillow.com/homedetails/2168-Rosswood-Dr-San-Jose-CA-95124/19677666_zpid/,Sold
"1639 Wyndham Dr, San Jose, CA 95124",95124,1550000.0,3D Home,1992,4159.0,SINGLE_FAMILY,4395,890932.0,4,3.0,1910,37.254007,-121.903601,https://www.zillow.com/homedetails/1639-Wyndham-Dr-San-Jose-CA-95124/19696061_zpid/,Sold
"2037 Rosswood Dr # 1, San Jose, CA 95124",95124,1625000.0,Sold 07/09/2019,1959,11822.0,SINGLE_FAMILY,4400,569759.0,5,3.0,1922,37.24604,-121.932749,https://www.zillow.com/homedetails/2037-Rosswood-Dr-1-San-Jose-CA-95124/153355520_zpid/,Sold
"5134 Elrose Ave, San Jose, CA 95124",95124,1499000.0,Sold 07/09/2019,1968,6159.0,SINGLE_FAMILY,4500,276923.0,5,3.0,2028,37.245333,-121.91369,https://www.zillow.com/homedetails/5134-Elrose-Ave-San-Jose-CA-95124/112100105_zpid/,Sold
"4793 Canberra Ct, San Jose, CA 95124",95124,1350000.0,Sold 07/08/2019,1992,4477.0,SINGLE_FAMILY,4000,791862.0,3,3.0,1438,37.252934,-121.905484,https://www.zillow.com/homedetails/4793-Canberra-Ct-San-Jose-CA-95124/19696139_zpid/,Sold
"1995 Assunta Way, San Jose, CA 95124",95124,1445000.0,Sold 07/08/2019,1958,7143.0,SINGLE_FAMILY,4300,1444014.0,3,2.0,1709,37.27083,-121.930572,https://www.zillow.com/homedetails/1995-Assunta-Way-San-Jose-CA-95124/19671528_zpid/,Sold
"3803 Arbuckle Dr, San Jose, CA 95124",95124,1270000.0,Sold 07/05/2019,1958,6329.0,SINGLE_FAMILY,3490,950000.0,4,2.0,1601,37.259903,-121.921512,https://www.zillow.com/homedetails/3803-Arbuckle-Dr-San-Jose-CA-95124/19673786_zpid/,Sold
"1859 Laurinda Dr, San Jose, CA 95124",95124,1949000.0,Sold 07/03/2019,1958,7557.0,SINGLE_FAMILY,4334,73040.0,4,3.0,2270,37.247234,-121.921072,https://www.zillow.com/homedetails/1859-Laurinda-Dr-San-Jose-CA-95124/19675968_zpid/,Sold
"1691 Willow Creek Dr, San Jose, CA 95124",95124,1576000.0,Sold 07/02/2019,1960,9160.0,SINGLE_FAMILY,4500,208082.0,4,3.0,2294,37.273311,-121.909564,https://www.zillow.com/homedetails/1691-Willow-Creek-Dr-San-Jose-CA-95124/82237141_zpid/,Sold
"2282 Sun Glory Ln # A, San Jose, CA 95124",95124,690000.0,Sold 07/02/2019,1981,1152.0,CONDO,2850,305857.0,2,2.0,974,37.268194,-121.937582,https://www.zillow.com/homedetails/2282-Sun-Glory-Ln-A-San-Jose-CA-95124/19671066_zpid/,Sold
"1821 Charmeran Ave, San Jose, CA 95124",95124,1220000.0,Sold 06/28/2019,1959,5998.0,SINGLE_FAMILY,3600,597231.0,3,2.0,1631,37.258598,-121.918591,https://www.zillow.com/homedetails/1821-Charmeran-Ave-San-Jose-CA-95124/19675553_zpid/,Sold
"5944 Hosta Ln, San Jose, CA 95124",95124,1715000.0,Sold 06/28/2019,1981,6564.0,SINGLE_FAMILY,4900,875074.0,5,3.0,2835,37.228294,-121.907049,https://www.zillow.com/homedetails/5944-Hosta-Ln-San-Jose-CA-95124/19754550_zpid/,Sold
"1906 Bernice Way, San Jose, CA 95124",95124,940000.0,Sold 06/28/2019,1959,6240.0,SINGLE_FAMILY,3500,248775.0,3,2.0,1280,37.262371,-121.924492,https://www.zillow.com/homedetails/1906-Bernice-Way-San-Jose-CA-95124/19673600_zpid/,Sold
"3369 New Jersey Ave, San Jose, CA 95124",95124,1100000.0,Sold 06/27/2019,1955,5832.0,SINGLE_FAMILY,3600,664439.0,3,2.0,1270,37.263866,-121.92563,https://www.zillow.com/homedetails/3369-New-Jersey-Ave-San-Jose-CA-95124/19671943_zpid/,Sold
