address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"5979 Hillrose Dr, San Jose, CA 95123",95123,,Sold 07/10/2019,1981,6534.0,SINGLE_FAMILY,4400,1056911.0,4,3.0,2482,37.24035,-121.862158,https://www.zillow.com/homedetails/5979-Hillrose-Dr-San-Jose-CA-95123/19831635_zpid/,Sold
"453 Don Edgardo Ct, San Jose, CA 95123",95123,570000.0,Sold 07/09/2019,1970,779.0,TOWNHOUSE,2500,413100.0,2,2.0,950,37.253685,-121.84059,https://www.zillow.com/homedetails/453-Don-Edgardo-Ct-San-Jose-CA-95123/19707815_zpid/,Sold
"5250 Makati Cir, San Jose, CA 95123",95123,598000.0,Sold 07/09/2019,1985,1150.0,CONDO,2900,253894.0,2,2.0,1233,37.249697,-121.806512,https://www.zillow.com/homedetails/5250-Makati-Cir-San-Jose-CA-95123/19829342_zpid/,Sold
"728 Laguna Seca Ct, San Jose, CA 95123",95123,1072500.0,Sold 07/08/2019,1963,6477.0,SINGLE_FAMILY,3500,131202.0,3,2.0,1347,37.242578,-121.841526,https://www.zillow.com/homedetails/728-Laguna-Seca-Ct-San-Jose-CA-95123/19819037_zpid/,Sold
"550 Calero Ave, San Jose, CA 95123",95123,880000.0,Sold 07/08/2019,1966,6150.0,SINGLE_FAMILY,3411,181512.0,3,2.0,1450,37.241779,-121.833343,https://www.zillow.com/homedetails/550-Calero-Ave-San-Jose-CA-95123/19820499_zpid/,Sold
"795 Sunset Glen Dr, San Jose, CA 95123",95123,1424000.0,Sold 07/07/2019,1971,9256.0,SINGLE_FAMILY,4495,969698.0,4,3.0,2607,37.235176,-121.849813,https://www.zillow.com/homedetails/795-Sunset-Glen-Dr-San-Jose-CA-95123/19832902_zpid/,Sold
"5887 Garlough Dr, San Jose, CA 95123",95123,1075890.0,Sold 07/05/2019,1971,8550.0,SINGLE_FAMILY,3650,770315.0,3,2.0,1739,37.243046,-121.861568,https://www.zillow.com/homedetails/5887-Garlough-Dr-San-Jose-CA-95123/19830216_zpid/,Sold
"5486 Don Andres Way, San Jose, CA 95123",95123,541000.0,Sold 07/03/2019,1970,1742.0,CONDO,2494,456000.0,2,1.0,884,37.253532,-121.83729,https://www.zillow.com/homedetails/5486-Don-Andres-Way-San-Jose-CA-95123/19707600_zpid/,Sold
"5593 Makati Cir, San Jose, CA 95123",95123,785000.0,Sold 07/03/2019,1985,1533.0,TOWNHOUSE,3495,753046.0,3,3.0,1874,37.247454,-121.807614,https://www.zillow.com/homedetails/5593-Makati-Cir-San-Jose-CA-95123/19829659_zpid/,Sold
"367 Daisy Dr, San Jose, CA 95123",95123,1430000.0,Sold 07/03/2019,1998,4146.0,SINGLE_FAMILY,4495,946489.0,5,3.0,2735,37.239933,-121.811685,https://www.zillow.com/homedetails/367-Daisy-Dr-San-Jose-CA-95123/19824758_zpid/,Sold
"5874 Bridgeport Lake Way, San Jose, CA 95123",95123,2749.0,6 days ago,1988,1197.0,SINGLE_FAMILY,2800,552320.0,2,2.0,1002,37.244827,-121.86823,https://www.zillow.com/homedetails/5874-Bridgeport-Lake-Way-San-Jose-CA-95123/19832204_zpid/,Sold
"5748 Tonopah Dr, San Jose, CA 95123",95123,1030000.0,Sold 07/02/2019,1968,7383.0,SINGLE_FAMILY,3600,806576.0,3,2.0,1543,37.247941,-121.821046,https://www.zillow.com/homedetails/5748-Tonopah-Dr-San-Jose-CA-95123/19828741_zpid/,Sold
"6121 Charlotte Dr, San Jose, CA 95123",95123,870000.0,Sold 07/01/2019,2015,1102.0,TOWNHOUSE,3600,696048.0,3,4.0,1793,37.241806,-121.79484,https://www.zillow.com/homedetails/6121-Charlotte-Dr-San-Jose-CA-95123/166728968_zpid/,Sold
"688 Pronto Dr, San Jose, CA 95123",95123,1030000.0,Sold 07/01/2019,1974,6150.0,SINGLE_FAMILY,3650,377259.0,4,2.0,1572,37.244777,-121.851301,https://www.zillow.com/homedetails/688-Pronto-Dr-San-Jose-CA-95123/19831423_zpid/,Sold
"413 Ariel Dr, San Jose, CA 95123",95123,935000.0,Sold 06/29/2019,1968,6042.0,SINGLE_FAMILY,3500,503630.0,3,2.0,1409,37.243519,-121.825788,https://www.zillow.com/homedetails/413-Ariel-Dr-San-Jose-CA-95123/19821932_zpid/,Sold
"5805 Brandon Ct, San Jose, CA 95123",95123,970000.0,Video Walkthrough,2015,1546.0,TOWNHOUSE,4000,838199.0,4,4.0,2205,37.244872,-121.798881,https://www.zillow.com/homedetails/5805-Brandon-Ct-San-Jose-CA-95123/124742349_zpid/,Sold
"662 Apache Ct, San Jose, CA 95123",95123,1298000.0,Sold 06/28/2019,1962,12723.0,SINGLE_FAMILY,4200,332103.0,4,3.0,2409,37.245718,-121.840551,https://www.zillow.com/homedetails/662-Apache-Ct-San-Jose-CA-95123/19818909_zpid/,Sold
"374 Colville Dr, San Jose, CA 95123",95123,853000.0,Sold 06/28/2019,1968,6324.0,SINGLE_FAMILY,3800,420916.0,4,2.0,1926,37.246955,-121.823274,https://www.zillow.com/homedetails/374-Colville-Dr-San-Jose-CA-95123/19828907_zpid/,Sold
"1014 La Terrace Cir, San Jose, CA 95123",95123,615000.0,Sold 06/28/2019,1985,435.0,CONDO,2500,477810.0,2,1.0,904,37.241152,-121.868518,https://www.zillow.com/homedetails/1014-La-Terrace-Cir-San-Jose-CA-95123/19831763_zpid/,Sold
"675 Alamo Dr, San Jose, CA 95123",95123,900000.0,Sold 06/28/2019,1965,6198.0,SINGLE_FAMILY,3500,858330.0,3,2.0,1347,37.247122,-121.844135,https://www.zillow.com/homedetails/675-Alamo-Dr-San-Jose-CA-95123/19819737_zpid/,Sold
"5483 Entrada Cedros, San Jose, CA 95123",95123,520000.0,Sold 06/28/2019,1970,1372.0,TOWNHOUSE,2395,173972.0,2,1.0,884,37.253696,-121.836042,https://www.zillow.com/homedetails/5483-Entrada-Cedros-San-Jose-CA-95123/19707623_zpid/,Sold
"418 Ellicott Loop, San Jose, CA 95123",95123,850000.0,Sold 06/27/2019,2017,710.0,TOWNHOUSE,3600,729884.0,3,4.0,1531,37.25013,-121.796658,https://www.zillow.com/homedetails/418-Ellicott-Loop-San-Jose-CA-95123/166731117_zpid/,Sold
"165 Blossom Hill Rd SPC 265, San Jose, CA 95123",95123,215000.0,Sold 06/27/2019,1965,-1.0,MANUFACTURED,2900,,2,2.0,1020,37.255861,-121.806983,https://www.zillow.com/homedetails/165-Blossom-Hill-Rd-SPC-265-San-Jose-CA-95123/2086953061_zpid/,Sold
"629 Cree Ct, San Jose, CA 95123",95123,1178000.0,Sold 06/27/2019,1968,7611.0,SINGLE_FAMILY,3900,878053.0,4,2.0,1495,37.232438,-121.833192,https://www.zillow.com/homedetails/629-Cree-Ct-San-Jose-CA-95123/19833666_zpid/,Sold
"5909 Raleigh Rd, San Jose, CA 95123",95123,930000.0,Sold 06/24/2019,2016,1380.0,TOWNHOUSE,3600,829412.0,3,3.5,2093,37.245558,-121.79855,https://www.zillow.com/homedetails/5909-Raleigh-Rd-San-Jose-CA-95123/166729521_zpid/,Sold
"5775 Cohasset Way, San Jose, CA 95123",95123,925000.0,Sold 06/21/2019,1966,5523.0,SINGLE_FAMILY,3750,83396.0,4,2.0,1400,37.247393,-121.809501,https://www.zillow.com/homedetails/5775-Cohasset-Way-San-Jose-CA-95123/19827839_zpid/,Sold
"535 Glenburry Way, San Jose, CA 95123",95123,1060000.0,Sold 06/21/2019,1976,6155.0,SINGLE_FAMILY,3800,245874.0,4,3.0,1852,37.253776,-121.846485,https://www.zillow.com/homedetails/535-Glenburry-Way-San-Jose-CA-95123/19708934_zpid/,Sold
