address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"1340 Bretmoor Way, San Jose, CA 95129",95129,2360000.0,Sold 07/10/2019,1957,8468.0,SINGLE_FAMILY,4382,515190.0,3,2.0,1689,37.299592,-122.022293,https://www.zillow.com/homedetails/1340-Bretmoor-Way-San-Jose-CA-95129/19642724_zpid/,Sold
"6088 Bollinger Rd, San Jose, CA 95129",95129,1600000.0,Sold 07/09/2019,1970,2800.0,TOWNHOUSE,4500,1011910.0,3,3.0,1950,37.310314,-122.009216,https://www.zillow.com/homedetails/6088-Bollinger-Rd-San-Jose-CA-95129/19645567_zpid/,Sold
"6685 Rainbow Dr, San Jose, CA 95129",95129,1800000.0,Sold 07/05/2019,1957,7261.0,SINGLE_FAMILY,3800,75686.0,3,2.0,1237,37.301434,-122.020947,https://www.zillow.com/homedetails/6685-Rainbow-Dr-San-Jose-CA-95129/19642874_zpid/,Sold
"5980 Royal Ann Dr, San Jose, CA 95129",95129,2030000.0,Sold 07/01/2019,1964,7239.0,SINGLE_FAMILY,4565,369504.0,4,3.0,1856,37.297903,-122.009212,https://www.zillow.com/homedetails/5980-Royal-Ann-Dr-San-Jose-CA-95129/19646715_zpid/,Sold
"1333 Saratoga Ave, San Jose, CA 95129",95129,1825000.0,Sold 06/28/2019,1967,8337.0,MULTI_FAMILY,2800,1261123.0,0,,4223,37.300413,-121.982787,https://www.zillow.com/homedetails/1333-Saratoga-Ave-San-Jose-CA-95129/153326091_zpid/,Sold
"1036 Whitebick Dr, San Jose, CA 95129",95129,1531000.0,Sold 06/27/2019,1972,1934.0,TOWNHOUSE,4200,850652.0,3,3.0,1532,37.307605,-122.011564,https://www.zillow.com/homedetails/1036-Whitebick-Dr-San-Jose-CA-95129/19645764_zpid/,Sold
"1053 Regency Knoll Dr, San Jose, CA 95129",95129,1426000.0,Sold 06/26/2019,1972,1899.0,CONDO,3500,544910.0,3,2.0,1368,37.30671,-122.011589,https://www.zillow.com/homedetails/1053-Regency-Knoll-Dr-San-Jose-CA-95129/19645721_zpid/,Sold
"1265 Petal Way, San Jose, CA 95129",95129,1790000.0,Sold 06/26/2019,1960,7348.0,SINGLE_FAMILY,4300,292212.0,3,2.0,1430,37.300892,-122.012043,https://www.zillow.com/homedetails/1265-Petal-Way-San-Jose-CA-95129/19646389_zpid/,Sold
"7071 Blue Hill Dr, San Jose, CA 95129",95129,2780000.0,Sold 06/21/2019,2014,6098.0,SINGLE_FAMILY,6531,1906272.0,5,5.0,2687,37.304782,-122.028314,https://www.zillow.com/homedetails/7071-Blue-Hill-Dr-San-Jose-CA-95129/19640845_zpid/,Sold
"495 Hollyberry Ct, San Jose, CA 95129",95129,930000.0,Sold 06/19/2019,1973,1328.0,TOWNHOUSE,3395,315732.0,3,2.0,1306,37.3175,-121.986194,https://www.zillow.com/homedetails/495-Hollyberry-Ct-San-Jose-CA-95129/19651420_zpid/,Sold
"6628 Wisteria Way, San Jose, CA 95129",95129,2100000.0,Sold 06/18/2019,1957,8141.0,SINGLE_FAMILY,4463,94774.0,4,3.0,1851,37.297389,-122.020654,https://www.zillow.com/homedetails/6628-Wisteria-Way-San-Jose-CA-95129/19642646_zpid/,Sold
"726 Oakgrove Dr, San Jose, CA 95129",95129,1355000.0,Sold 06/17/2019,1955,5998.0,SINGLE_FAMILY,3500,748852.0,3,2.0,1100,37.313913,-121.982354,https://www.zillow.com/homedetails/726-Oakgrove-Dr-San-Jose-CA-95129/19648527_zpid/,Sold
"1155 Weyburn Ln APT 22, San Jose, CA 95129",95129,865000.0,Sold 06/17/2019,1962,441.0,TOWNHOUSE,2750,493584.0,2,2.0,852,37.304406,-122.03002,https://www.zillow.com/homedetails/1155-Weyburn-Ln-APT-22-San-Jose-CA-95129/19641407_zpid/,Sold
"5140 Ruffino Ter, San Jose, CA 95129",95129,1130000.0,Sold 06/14/2019,2005,1000.0,CONDO,3500,872664.0,2,3.0,1350,37.294021,-121.991951,https://www.zillow.com/homedetails/5140-Ruffino-Ter-San-Jose-CA-95129/69300606_zpid/,Sold
"1128 Beaumont Dr, San Jose, CA 95129",95129,1670000.0,Sold 06/14/2019,1964,6000.0,SINGLE_FAMILY,4380,629733.0,5,3.0,2042,37.305041,-121.990521,https://www.zillow.com/homedetails/1128-Beaumont-Dr-San-Jose-CA-95129/19650872_zpid/,Sold
"1541 Cameo Dr, San Jose, CA 95129",95129,1560000.0,Sold 06/14/2019,1960,6804.0,SINGLE_FAMILY,4350,236375.0,4,2.0,1399,37.294976,-121.993683,https://www.zillow.com/homedetails/1541-Cameo-Dr-San-Jose-CA-95129/19650236_zpid/,Sold
