address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"903 Nevada Ave, San Jose, CA 95125",95125,1500000.0,Sold 07/11/2019,1931,4734.0,SINGLE_FAMILY,4000,812333.0,3,2.0,1490,37.303419,-121.89108,https://www.zillow.com/homedetails/903-Nevada-Ave-San-Jose-CA-95125/19680994_zpid/,Sold
"565 Mill Pond Dr, San Jose, CA 95125",95125,259900.0,Sold 07/10/2019,1977,-1.0,MANUFACTURED,3350,,2,2.0,1344,37.295173,-121.869644,https://www.zillow.com/homedetails/565-Mill-Pond-Dr-San-Jose-CA-95125/2084429618_zpid/,Sold
"1579 Alisal Ave, San Jose, CA 95125",95125,1325000.0,Sold 07/10/2019,1963,7501.0,SINGLE_FAMILY,4062,88272.0,4,3.0,1628,37.273577,-121.901178,https://www.zillow.com/homedetails/1579-Alisal-Ave-San-Jose-CA-95125/19692141_zpid/,Sold
"565 Mill Pond Dr # 565, San Jose, CA 95125",95125,255000.0,Sold 07/10/2019,1977,-1.0,MANUFACTURED,,,2,2.0,1344,37.294395,-121.869184,https://www.zillow.com/homedetails/565-Mill-Pond-Dr-565-San-Jose-CA-95125/2092005754_zpid/,Sold
"1670 Cherry Grove Dr, San Jose, CA 95125",95125,1650000.0,3D Home,1957,7710.0,SINGLE_FAMILY,4400,1305701.0,3,3.0,1943,37.292448,-121.915215,https://www.zillow.com/homedetails/1670-Cherry-Grove-Dr-San-Jose-CA-95125/19593694_zpid/,Sold
"749 Mill Stream Dr # 749, San Jose, CA 95125",95125,239000.0,Sold 07/09/2019,1979,-1.0,MANUFACTURED,3450,,2,2.0,1440,37.289742,-121.872338,https://www.zillow.com/homedetails/749-Mill-Stream-Dr-749-San-Jose-CA-95125/2084376348_zpid/,Sold
"1378 Fulai Ct, San Jose, CA 95125",95125,2450000.0,Sold 07/09/2019,2005,8062.0,SINGLE_FAMILY,6735,2035766.0,5,5.0,4033,37.289966,-121.901407,https://www.zillow.com/homedetails/1378-Fulai-Ct-San-Jose-CA-95125/64429069_zpid/,Sold
"1961 Johnston Ave, San Jose, CA 95125",95125,1500000.0,Video Walkthrough,2008,6952.0,SINGLE_FAMILY,4250,941826.0,3,3.0,1876,37.297736,-121.884303,https://www.zillow.com/homedetails/1961-Johnston-Ave-San-Jose-CA-95125/19686506_zpid/,Sold
"1015 Riverside Dr, San Jose, CA 95125",95125,1200000.0,Sold 07/05/2019,1939,5357.0,SINGLE_FAMILY,3500,877200.0,2,2.0,1229,37.312888,-121.901262,https://www.zillow.com/homedetails/1015-Riverside-Dr-San-Jose-CA-95125/19578500_zpid/,Sold
"2374 Azevedo Pkwy, San Jose, CA 95125",95125,885000.0,Sold 07/03/2019,2004,1393.0,SINGLE_FAMILY,3500,762450.0,2,3.0,1690,37.295763,-121.864761,https://www.zillow.com/homedetails/2374-Azevedo-Pkwy-San-Jose-CA-95125/64903214_zpid/,Sold
"1688 Willowhurst Ave, San Jose, CA 95125",95125,1740000.0,Sold 07/03/2019,1929,8441.0,SINGLE_FAMILY,5000,1248480.0,4,4.0,3081,37.293272,-121.915555,https://www.zillow.com/homedetails/1688-Willowhurst-Ave-San-Jose-CA-95125/19593662_zpid/,Sold
"312 Heritage View Ter, San Jose, CA 95125",95125,870000.0,Sold 07/03/2019,2004,1393.0,SINGLE_FAMILY,3500,751077.0,2,3.0,1690,37.295481,-121.865552,https://www.zillow.com/homedetails/312-Heritage-View-Ter-San-Jose-CA-95125/64844145_zpid/,Sold
"1144 Meredith Ave, San Jose, CA 95125",95125,2205000.0,Sold 07/02/2019,1928,7853.0,SINGLE_FAMILY,5500,1249491.0,3,3.0,2435,37.305919,-121.901315,https://www.zillow.com/homedetails/1144-Meredith-Ave-San-Jose-CA-95125/19680738_zpid/,Sold
"537 Cassatt Way, San Jose, CA 95125",95125,639000.0,Sold 07/02/2019,1983,2117.0,TOWNHOUSE,2550,225326.0,2,1.0,780,37.297,-121.877141,https://www.zillow.com/homedetails/537-Cassatt-Way-San-Jose-CA-95125/19700714_zpid/,Sold
"1620 Minardi Ave, San Jose, CA 95125",95125,4800.0,10 days ago,1951,10380.0,SINGLE_FAMILY,4495,89092.0,3,2.0,1839,37.284284,-121.899234,https://www.zillow.com/homedetails/1620-Minardi-Ave-San-Jose-CA-95125/19686855_zpid/,Sold
"954 Desmet Way, San Jose, CA 95125",95125,1260000.0,Sold 07/02/2019,2000,3049.0,SINGLE_FAMILY,4100,958910.0,3,3.0,2069,37.280573,-121.877032,https://www.zillow.com/homedetails/954-Desmet-Way-San-Jose-CA-95125/54771072_zpid/,Sold
"345 Mill Pond Dr, San Jose, CA 95125",95125,229000.0,Sold 07/01/2019,1978,-1.0,MANUFACTURED,3500,,2,2.0,1756,37.292254,-121.866949,https://www.zillow.com/homedetails/345-Mill-Pond-Dr-San-Jose-CA-95125/2085963286_zpid/,Sold
"345 Mill Pond Dr # 345, San Jose, CA 95125",95125,221000.0,Sold 07/01/2019,1978,-1.0,MANUFACTURED,3446,,2,2.0,1756,37.2955,-121.8929,https://www.zillow.com/homedetails/345-Mill-Pond-Dr-345-San-Jose-CA-95125/2085817079_zpid/,Sold
"1850 Evans Ln SPC 94, San Jose, CA 95125",95125,160000.0,Sold 07/01/2019,2018,-1.0,MANUFACTURED,1995,,1,1.0,540,37.295789,-121.87655,https://www.zillow.com/homedetails/1850-Evans-Ln-SPC-94-San-Jose-CA-95125/2085790296_zpid/,Sold
"2774 Kring Dr, San Jose, CA 95125",95125,1350000.0,Video Walkthrough,1954,8812.0,SINGLE_FAMILY,4000,829589.0,3,3.0,2000,37.27796,-121.890925,https://www.zillow.com/homedetails/2774-Kring-Dr-San-Jose-CA-95125/19687844_zpid/,Sold
"2511 Lambert Ln, San Jose, CA 95125",95125,1430000.0,Sold 06/28/2019,1961,7636.0,SINGLE_FAMILY,4400,136598.0,4,3.0,2087,37.281946,-121.893696,https://www.zillow.com/homedetails/2511-Lambert-Ln-San-Jose-CA-95125/19688748_zpid/,Sold
"1537 Dry Creek Rd, San Jose, CA 95125",95125,1998000.0,Sold 06/28/2019,1971,9652.0,SINGLE_FAMILY,4800,468376.0,4,4.0,2587,37.289394,-121.906319,https://www.zillow.com/homedetails/1537-Dry-Creek-Rd-San-Jose-CA-95125/19682156_zpid/,Sold
"2647 La Mirada Dr, San Jose, CA 95125",95125,1580000.0,Sold 06/28/2019,1961,7448.0,SINGLE_FAMILY,4945,353373.0,5,3.0,2754,37.27566,-121.906143,https://www.zillow.com/homedetails/2647-La-Mirada-Dr-San-Jose-CA-95125/19691886_zpid/,Sold
"203 Olive Hill Dr, San Jose, CA 95125",95125,1025000.0,Sold 06/28/2019,2004,2193.0,TOWNHOUSE,3750,866136.0,3,3.0,2250,37.297318,-121.866873,https://www.zillow.com/homedetails/203-Olive-Hill-Dr-San-Jose-CA-95125/69299431_zpid/,Sold
"1714 Cabana Dr, San Jose, CA 95125",95125,2600000.0,Sold 06/20/2019,1953,16654.0,SINGLE_FAMILY,6500,296703.0,3,3.0,3866,37.287591,-121.916294,https://www.zillow.com/homedetails/1714-Cabana-Dr-San-Jose-CA-95125/19593877_zpid/,Sold
"1970 Glen Una Ave, San Jose, CA 95125",95125,1530000.0,Sold 06/19/2019,1939,5466.0,SINGLE_FAMILY,3450,1024930.0,3,2.0,1503,37.296337,-121.888095,https://www.zillow.com/homedetails/1970-Glen-Una-Ave-San-Jose-CA-95125/19686259_zpid/,Sold
"858 Minnesota Ave UNIT 102, San Jose, CA 95125",95125,945000.0,Sold 06/18/2019,1981,2282.0,TOWNHOUSE,3500,769896.0,3,3.0,1634,37.306387,-121.892289,https://www.zillow.com/homedetails/858-Minnesota-Ave-UNIT-102-San-Jose-CA-95125/19682785_zpid/,Sold
"1105 Glenn Ave, San Jose, CA 95125",95125,1300000.0,Sold 06/18/2019,1926,3711.0,SINGLE_FAMILY,3400,835621.0,2,1.0,1086,37.306208,-121.905692,https://www.zillow.com/homedetails/1105-Glenn-Ave-San-Jose-CA-95125/19680493_zpid/,Sold
"2775 Booksin Ave, San Jose, CA 95125",95125,1400000.0,Sold 06/18/2019,1962,9944.0,SINGLE_FAMILY,4250,121173.0,3,3.0,2251,37.275112,-121.897536,https://www.zillow.com/homedetails/2775-Booksin-Ave-San-Jose-CA-95125/19692124_zpid/,Sold
"1312 Glenwood Ave, San Jose, CA 95125",95125,2270000.0,Sold 06/18/2019,2015,5140.0,SINGLE_FAMILY,5750,1533359.0,4,4.0,2674,37.297212,-121.902179,https://www.zillow.com/homedetails/1312-Glenwood-Ave-San-Jose-CA-95125/19681706_zpid/,Sold
"1710 Sandy Creek Ln, San Jose, CA 95125",95125,1200000.0,Sold 06/17/2019,1973,2604.0,SINGLE_FAMILY,3800,875622.0,3,2.0,1743,37.29252,-121.907338,https://www.zillow.com/homedetails/1710-Sandy-Creek-Ln-San-Jose-CA-95125/19682636_zpid/,Sold
"1103 Prevost Ct, San Jose, CA 95125",95125,805000.0,Sold 06/17/2019,1979,2495.0,TOWNHOUSE,3125,500326.0,2,2.0,1272,37.312923,-121.89106,https://www.zillow.com/homedetails/1103-Prevost-Ct-San-Jose-CA-95125/19684439_zpid/,Sold
"2880 Kring Dr, San Jose, CA 95125",95125,1920000.0,Sold 06/17/2019,1956,9801.0,SINGLE_FAMILY,5750,1719140.0,4,4.0,2541,37.276862,-121.890248,https://www.zillow.com/homedetails/2880-Kring-Dr-San-Jose-CA-95125/19687840_zpid/,Sold
"961 Curtner Ave, San Jose, CA 95125",95125,1100000.0,Sold 06/14/2019,1952,6800.0,SINGLE_FAMILY,3200,721835.0,2,1.0,959,37.291349,-121.884349,https://www.zillow.com/homedetails/961-Curtner-Ave-San-Jose-CA-95125/19686047_zpid/,Sold
"1499 Artisan Way, San Jose, CA 95125",95125,1220000.0,Sold 06/14/2019,2005,1894.0,SINGLE_FAMILY,4095,903681.0,4,3.0,2104,37.297211,-121.909567,https://www.zillow.com/homedetails/1499-Artisan-Way-San-Jose-CA-95125/64787263_zpid/,Sold
"1628 Sparkling Way, San Jose, CA 95125",95125,1035000.0,Sold 06/14/2019,1975,2273.0,CONDO,3449,119346.0,2,2.0,1479,37.292661,-121.909205,https://www.zillow.com/homedetails/1628-Sparkling-Way-San-Jose-CA-95125/19682693_zpid/,Sold
"1031 Ellis Ave, San Jose, CA 95125",95125,1375000.0,Sold 06/14/2019,1947,5475.0,SINGLE_FAMILY,4000,1089176.0,3,2.0,1569,37.300035,-121.892135,https://www.zillow.com/homedetails/1031-Ellis-Ave-San-Jose-CA-95125/19681301_zpid/,Sold
"2203 Winepol Loop, San Jose, CA 95125",95125,740000.0,Sold 06/14/2019,2005,1568.0,SINGLE_FAMILY,2950,633026.0,2,2.0,1144,37.297211,-121.869338,https://www.zillow.com/homedetails/2203-Winepol-Loop-San-Jose-CA-95125/69303141_zpid/,Sold
"1669 Fairwood Ave, San Jose, CA 95125",95125,1650000.0,Sold 06/14/2019,1960,6468.0,SINGLE_FAMILY,4500,84011.0,4,2.0,1618,37.281639,-121.906268,https://www.zillow.com/homedetails/1669-Fairwood-Ave-San-Jose-CA-95125/19692515_zpid/,Sold
"802 Delmas Ave, San Jose, CA 95125",95125,1100000.0,Sold 06/14/2019,1987,6629.0,SINGLE_FAMILY,3585,145830.0,3,2.0,1430,37.319831,-121.892599,https://www.zillow.com/homedetails/802-Delmas-Ave-San-Jose-CA-95125/19578001_zpid/,Sold
"1795 Willowhurst Ave, San Jose, CA 95125",95125,1270000.0,Sold 06/13/2019,1939,6926.0,SINGLE_FAMILY,4000,906665.0,4,2.0,1470,37.293708,-121.917894,https://www.zillow.com/homedetails/1795-Willowhurst-Ave-San-Jose-CA-95125/19593648_zpid/,Sold
"1018 Broadway Ave, San Jose, CA 95125",95125,2000000.0,Sold 06/13/2019,1900,14348.0,SINGLE_FAMILY,4000,55992.0,4,1.0,1654,37.313278,-121.899636,https://www.zillow.com/homedetails/1018-Broadway-Ave-San-Jose-CA-95125/19578553_zpid/,Sold
"1157 Doralee Way, San Jose, CA 95125",95125,2300000.0,Sold 06/12/2019,2010,10049.0,SINGLE_FAMILY,6400,1688973.0,5,5.0,4170,37.283732,-121.885527,https://www.zillow.com/homedetails/1157-Doralee-Way-San-Jose-CA-95125/19687499_zpid/,Sold
