address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"1135 S Genevieve Ln, San Jose, CA 95128",95128,1600000.0,Sold 07/09/2019,1964,8520.0,SINGLE_FAMILY,5000,131929.0,5,3.0,3178,37.305798,-121.942692,https://www.zillow.com/homedetails/1135-S-Genevieve-Ln-San-Jose-CA-95128/19587038_zpid/,Sold
"641 Chauncey Way, San Jose, CA 95128",95128,1100000.0,Sold 07/08/2019,1955,8860.0,SINGLE_FAMILY,3400,69183.0,3,2.0,1808,37.315526,-121.920996,https://www.zillow.com/homedetails/641-Chauncey-Way-San-Jose-CA-95128/19590244_zpid/,Sold
"2346 Sunny Vista Dr, San Jose, CA 95128",95128,1028000.0,Sold 07/05/2019,1950,5915.0,SINGLE_FAMILY,3500,77460.0,3,1.0,1409,37.335399,-121.945398,https://www.zillow.com/homedetails/2346-Sunny-Vista-Dr-San-Jose-CA-95128/19584498_zpid/,Sold
"465 Leland Ave, San Jose, CA 95128",95128,850000.0,Sold 07/05/2019,1930,4107.0,SINGLE_FAMILY,3200,368691.0,3,2.0,1160,37.320447,-121.926999,https://www.zillow.com/homedetails/465-Leland-Ave-San-Jose-CA-95128/19585308_zpid/,Sold
"2119 Roenoke Way, San Jose, CA 95128",95128,980000.0,Sold 07/03/2019,1953,7100.0,SINGLE_FAMILY,3400,426601.0,3,2.0,1272,37.307918,-121.929964,https://www.zillow.com/homedetails/2119-Roenoke-Way-San-Jose-CA-95128/19589759_zpid/,Sold
"2261 Peachtree Ln, San Jose, CA 95128",95128,1241000.0,Sold 07/03/2019,1949,7614.0,SINGLE_FAMILY,3500,551948.0,3,1.0,1134,37.334362,-121.94238,https://www.zillow.com/homedetails/2261-Peachtree-Ln-San-Jose-CA-95128/19583276_zpid/,Sold
"2283 Peachtree Ln, San Jose, CA 95128",95128,1710000.0,Sold 07/02/2019,1949,7640.0,SINGLE_FAMILY,3500,65125.0,4,3.0,1893,37.334357,-121.943138,https://www.zillow.com/homedetails/2283-Peachtree-Ln-San-Jose-CA-95128/19583280_zpid/,Sold
"2428 Woodland Ave, San Jose, CA 95128",95128,1050000.0,Sold 07/02/2019,1950,5762.0,SINGLE_FAMILY,3710,373385.0,4,2.0,1652,37.330699,-121.947821,https://www.zillow.com/homedetails/2428-Woodland-Ave-San-Jose-CA-95128/19584197_zpid/,Sold
"2972 Williams Rd, San Jose, CA 95128",95128,1200000.0,Sold 07/01/2019,1949,9557.0,SINGLE_FAMILY,3950,71015.0,3,2.0,1696,37.309025,-121.947392,https://www.zillow.com/homedetails/2972-Williams-Rd-San-Jose-CA-95128/19586953_zpid/,Sold
"68 Quail Hollow #68, San Jose, CA 95128",95128,265900.0,Sold 06/28/2019,-1,-1.0,MANUFACTURED,3490,,2,2.0,1368,37.297356,-121.933561,https://www.zillow.com/homedetails/68-Quail-Hollow-68-San-Jose-CA-95128/2083727851_zpid/,Sold
"801 S Winchester Blvd APT 4316, San Jose, CA 95128",95128,832000.0,Video Walkthrough,2005,892.0,CONDO,2850,432555.0,2,2.0,986,37.312871,-121.95054,https://www.zillow.com/homedetails/801-S-Winchester-Blvd-APT-4316-San-Jose-CA-95128/69300581_zpid/,Sold
"840 Di Fiore Dr, San Jose, CA 95128",95128,1695000.0,Sold 06/28/2019,1964,6759.0,MULTI_FAMILY,2895,806200.0,0,,3597,37.311779,-121.924,https://www.zillow.com/homedetails/840-Di-Fiore-Dr-San-Jose-CA-95128/153260859_zpid/,Sold
"821 Menker Ave, San Jose, CA 95128",95128,1125000.0,Sold 06/28/2019,1953,6019.0,SINGLE_FAMILY,3500,339225.0,3,2.0,1216,37.311969,-121.921647,https://www.zillow.com/homedetails/821-Menker-Ave-San-Jose-CA-95128/19590035_zpid/,Sold
"613 Teatree Ct, San Jose, CA 95128",95128,615000.0,Sold 06/27/2019,1988,1742.0,CONDO,2700,292204.0,2,2.0,922,37.315846,-121.93902,https://www.zillow.com/homedetails/613-Teatree-Ct-San-Jose-CA-95128/79842289_zpid/,Sold
"344 Leigh Ave, San Jose, CA 95128",95128,835000.0,Sold 06/27/2019,1925,6041.0,SINGLE_FAMILY,3450,287945.0,3,2.0,1170,37.322473,-121.923527,https://www.zillow.com/homedetails/344-Leigh-Ave-San-Jose-CA-95128/19585479_zpid/,Sold
"1213 Yarwood Ct, San Jose, CA 95128",95128,463000.0,Sold 06/26/2019,1988,1306.0,CONDO,2250,402900.0,1,1.0,658,37.310762,-121.939308,https://www.zillow.com/homedetails/1213-Yarwood-Ct-San-Jose-CA-95128/79845965_zpid/,Sold
"543 Leigh Ave, San Jose, CA 95128",95128,846000.0,Sold 06/26/2019,1950,6394.0,SINGLE_FAMILY,3500,389493.0,4,1.0,1134,37.318482,-121.924089,https://www.zillow.com/homedetails/543-Leigh-Ave-San-Jose-CA-95128/19585885_zpid/,Sold
"529 Rutland Ave, San Jose, CA 95128",95128,58000.0,Sold 06/26/2019,1938,5009.0,SINGLE_FAMILY,3450,424998.0,2,2.0,1064,37.318823,-121.926182,https://www.zillow.com/homedetails/529-Rutland-Ave-San-Jose-CA-95128/19585943_zpid/,Sold
"2352 Cory Ave, San Jose, CA 95128",95128,1210000.0,Sold 06/25/2019,1950,5662.0,SINGLE_FAMILY,3900,396285.0,5,2.0,1692,37.331544,-121.945392,https://www.zillow.com/homedetails/2352-Cory-Ave-San-Jose-CA-95128/19584151_zpid/,Sold
