address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"5351 Ligurian Dr, San Jose, CA 95138",95138,1740000.0,Sold 07/08/2019,1996,6565.0,SINGLE_FAMILY,4695,1149030.0,4,3.0,2682,37.283276,-121.766135,https://www.zillow.com/homedetails/5351-Ligurian-Dr-San-Jose-CA-95138/19812385_zpid/,Sold
"6120 Hellyer Ave #125, San Jose, CA 95138",95138,1158000.0,Sold 07/04/2019,-1,-1.0,SINGLE_FAMILY,3350,,0,2.0,1500,37.257083,-121.779611,https://www.zillow.com/homedetails/6120-Hellyer-Ave-125-San-Jose-CA-95138/2083679056_zpid/,Sold
"6120 Hellyer Ave #100, San Jose, CA 95138",95138,1158000.0,Sold 07/04/2019,-1,-1.0,SINGLE_FAMILY,3350,,0,2.0,1500,37.257083,-121.779611,https://www.zillow.com/homedetails/6120-Hellyer-Ave-100-San-Jose-CA-95138/2083679074_zpid/,Sold
"74 Oldwell Ct, San Jose, CA 95138",95138,880000.0,Sold 07/01/2019,1980,5902.0,SINGLE_FAMILY,3500,471940.0,3,2.0,1310,37.248867,-121.789612,https://www.zillow.com/homedetails/74-Oldwell-Ct-San-Jose-CA-95138/19809881_zpid/,Sold
"5510 Country Club Pkwy, San Jose, CA 95138",95138,3300000.0,Sold 07/01/2019,1995,17424.0,SINGLE_FAMILY,7775,2575777.0,5,4.0,5741,37.273505,-121.772001,https://www.zillow.com/homedetails/5510-Country-Club-Pkwy-San-Jose-CA-95138/19811971_zpid/,Sold
"7214 Basking Ridge Ave, San Jose, CA 95138",95138,1030000.0,Video Walkthrough,2006,3593.0,SINGLE_FAMILY,3590,668868.0,3,3.0,1843,37.23549,-121.755591,https://www.zillow.com/homedetails/7214-Basking-Ridge-Ave-San-Jose-CA-95138/79847432_zpid/,Sold
"6985 Rodling Dr UNIT D, San Jose, CA 95138",95138,680000.0,Sold 06/28/2019,1992,436.0,CONDO,3450,535806.0,3,3.0,1129,37.235425,-121.767398,https://www.zillow.com/homedetails/6985-Rodling-Dr-UNIT-D-San-Jose-CA-95138/19810922_zpid/,Sold
"5878 Silver Leaf Rd, San Jose, CA 95138",95138,960000.0,Sold 06/28/2019,1983,5976.0,SINGLE_FAMILY,3750,406800.0,4,3.0,1987,37.245997,-121.778775,https://www.zillow.com/homedetails/5878-Silver-Leaf-Rd-San-Jose-CA-95138/19810416_zpid/,Sold
"91 Rosewell Way, San Jose, CA 95138",95138,870000.0,Sold 06/26/2019,1980,5937.0,SINGLE_FAMILY,3600,318721.0,4,2.0,1642,37.251178,-121.79228,https://www.zillow.com/homedetails/91-Rosewell-Way-San-Jose-CA-95138/19809395_zpid/,Sold
"200 Ford Rd SPC 62, San Jose, CA 95138",95138,280000.0,Sold 06/26/2019,1988,-1.0,MANUFACTURED,3500,,3,2.0,1560,37.25302,-121.793547,https://www.zillow.com/homedetails/200-Ford-Rd-SPC-62-San-Jose-CA-95138/2084400131_zpid/,Sold
"6130 Monterey Hwy SPC 137, San Jose, CA 95138",95138,250000.0,Sold 06/25/2019,2008,-1.0,MANUFACTURED,3400,,3,2.0,1180,37.232842,-121.763341,https://www.zillow.com/homedetails/6130-Monterey-Hwy-SPC-137-San-Jose-CA-95138/2084745734_zpid/,Sold
"5932 Country Club Pkwy, San Jose, CA 95138",95138,3150000.0,Sold 06/24/2019,1997,14399.0,SINGLE_FAMILY,7500,2806522.0,4,6.0,5174,37.279412,-121.761893,https://www.zillow.com/homedetails/5932-Country-Club-Pkwy-San-Jose-CA-95138/19812205_zpid/,Sold
