address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"2014 Wizard Ct, San Jose, CA 95131",95131,1180000.0,Sold 07/11/2019,1971,5998.0,SINGLE_FAMILY,3600,699245.0,3,2.0,1740,37.386157,-121.873369,https://www.zillow.com/homedetails/2014-Wizard-Ct-San-Jose-CA-95131/19565259_zpid/,Sold
"2151 Oakland Rd SPC 559, San Jose, CA 95131",95131,210000.0,Sold 07/09/2019,1977,-1.0,MANUFACTURED,3275,,2,2.0,1344,37.40036,-121.906739,https://www.zillow.com/homedetails/2151-Oakland-Rd-SPC-559-San-Jose-CA-95131/2104331010_zpid/,Sold
"1633 Shore Dr, San Jose, CA 95131",95131,1370000.0,Sold 07/05/2019,2014,3306.0,SINGLE_FAMILY,4200,948082.0,3,3.0,2098,37.373617,-121.879451,https://www.zillow.com/homedetails/1633-Shore-Dr-San-Jose-CA-95131/122249375_zpid/,Sold
"1702 Fan St, San Jose, CA 95131",95131,1040000.0,Sold 07/05/2019,1989,2548.0,TOWNHOUSE,3395,541128.0,3,3.0,1666,37.37461,-121.876286,https://www.zillow.com/homedetails/1702-Fan-St-San-Jose-CA-95131/19561014_zpid/,Sold
"2211 Ladymuir Ct, San Jose, CA 95131",95131,1200000.0,Sold 06/27/2019,1972,8686.0,SINGLE_FAMILY,3700,647540.0,3,2.0,1646,37.392697,-121.874106,https://www.zillow.com/homedetails/2211-Ladymuir-Ct-San-Jose-CA-95131/19564976_zpid/,Sold
"2518 Autumnvale Ave, San Jose, CA 95131",95131,850000.0,Sold 06/27/2019,2008,1670.0,CONDO,3495,580660.0,3,3.0,1536,37.404426,-121.884615,https://www.zillow.com/homedetails/2518-Autumnvale-Ave-San-Jose-CA-95131/89475406_zpid/,Sold
"1392 Rue Avati, San Jose, CA 95131",95131,1108000.0,Sold 06/27/2019,1974,5662.0,SINGLE_FAMILY,3600,753588.0,4,2.0,1480,37.382371,-121.877889,https://www.zillow.com/homedetails/1392-Rue-Avati-San-Jose-CA-95131/19565767_zpid/,Sold
"1824 Camino Leonor, San Jose, CA 95131",95131,800000.0,Sold 06/26/2019,2007,1226.0,SINGLE_FAMILY,3300,702414.0,2,2.5,1540,37.390515,-121.889126,https://www.zillow.com/homedetails/1824-Camino-Leonor-San-Jose-CA-95131/82958914_zpid/,Sold
"1700 Martin Jue St, San Jose, CA 95131",95131,1180000.0,Sold 06/26/2019,1988,3023.0,TOWNHOUSE,3900,884340.0,4,3.0,2009,37.375049,-121.876488,https://www.zillow.com/homedetails/1700-Martin-Jue-St-San-Jose-CA-95131/19560991_zpid/,Sold
"2151 Oakland Rd SPC 40, San Jose, CA 95131",95131,317000.0,Sold 06/25/2019,2005,-1.0,MANUFACTURED,4000,,4,2.0,1972,37.40036,-121.906739,https://www.zillow.com/homedetails/2151-Oakland-Rd-SPC-40-San-Jose-CA-95131/2084697469_zpid/,Sold
"1540 Meadow Ridge Cir, San Jose, CA 95131",95131,715000.0,Sold 06/25/2019,1985,436.0,CONDO,2845,236142.0,2,2.0,988,37.381636,-121.883986,https://www.zillow.com/homedetails/1540-Meadow-Ridge-Cir-San-Jose-CA-95131/19560260_zpid/,Sold
"1726 River Birch Dr, San Jose, CA 95131",95131,930000.0,Sold 06/24/2019,1985,3118.0,SINGLE_FAMILY,3400,337229.0,3,3.0,1478,37.373701,-121.874961,https://www.zillow.com/homedetails/1726-River-Birch-Dr-San-Jose-CA-95131/19560446_zpid/,Sold
"1399 Stanton Way, San Jose, CA 95131",95131,1660000.0,Sold 06/21/2019,1993,4155.0,SINGLE_FAMILY,4450,857408.0,5,3.0,2516,37.376956,-121.885073,https://www.zillow.com/homedetails/1399-Stanton-Way-San-Jose-CA-95131/19561315_zpid/,Sold
"1040 Banyan Ct, San Jose, CA 95131",95131,1440000.0,Sold 06/21/2019,2007,5972.0,SINGLE_FAMILY,4250,1118797.0,4,3.0,2150,37.391759,-121.903386,https://www.zillow.com/homedetails/1040-Banyan-Ct-San-Jose-CA-95131/82950515_zpid/,Sold
"1614 Stanwich Rd, San Jose, CA 95131",95131,1100000.0,Sold 06/17/2019,1978,7405.0,SINGLE_FAMILY,3600,130842.0,4,2.0,1234,37.395265,-121.875717,https://www.zillow.com/homedetails/1614-Stanwich-Rd-San-Jose-CA-95131/19562416_zpid/,Sold
"1525 Four Oaks Cir, San Jose, CA 95131",95131,460000.0,Sold 06/17/2019,1986,1307.0,CONDO,2340,153148.0,1,1.0,676,37.391611,-121.872958,https://www.zillow.com/homedetails/1525-Four-Oaks-Cir-San-Jose-CA-95131/19564896_zpid/,Sold
"2151 Oakland Rd SPC 165, San Jose, CA 95131",95131,170000.0,Sold 06/17/2019,1973,-1.0,MANUFACTURED,3500,,3,2.0,1440,37.40036,-121.906739,https://www.zillow.com/homedetails/2151-Oakland-Rd-SPC-165-San-Jose-CA-95131/2146215285_zpid/,Sold
"2170 Stratton Pl, San Jose, CA 95131",95131,961000.0,Sold 06/15/2019,1976,6033.0,SINGLE_FAMILY,3600,555878.0,4,2.0,1234,37.388777,-121.871974,https://www.zillow.com/homedetails/2170-Stratton-Pl-San-Jose-CA-95131/90135172_zpid/,Sold
"1052 Bigleaf Pl #103, San Jose, CA 95131",95131,1085000.0,Sold 06/13/2019,2015,-1.0,CONDO,3500,,2,3.0,1690,37.380433,-121.89735,https://www.zillow.com/homedetails/1052-Bigleaf-Pl-103-San-Jose-CA-95131/2096457661_zpid/,Sold
"1052 Bigleaf Pl UNIT 103, San Jose, CA 95131",95131,1085000.0,Sold 06/13/2019,2015,1632.0,CONDO,3500,746930.0,2,3.0,1690,37.380414,-121.897617,https://www.zillow.com/homedetails/1052-Bigleaf-Pl-UNIT-103-San-Jose-CA-95131/166730701_zpid/,Sold
"1161 Tofts Dr, San Jose, CA 95131",95131,960000.0,Sold 06/11/2019,-1,-1.0,SINGLE_FAMILY,3200,743886.0,,,,37.384031,-121.865908,https://www.zillow.com/homedetails/1161-Tofts-Dr-San-Jose-CA-95131/19564305_zpid/,Sold
"1098 Foxglove Pl, San Jose, CA 95131",95131,1200000.0,Sold 06/11/2019,2015,710.0,TOWNHOUSE,3950,916827.0,4,4.0,1872,37.379575,-121.895896,https://www.zillow.com/homedetails/1098-Foxglove-Pl-San-Jose-CA-95131/166730499_zpid/,Sold
"1784 Rocktree Ct, San Jose, CA 95131",95131,213000.0,Sold 06/07/2019,1973,6316.0,SINGLE_FAMILY,3250,804691.0,3,2.0,1041,37.399241,-121.879192,https://www.zillow.com/homedetails/1784-Rocktree-Ct-San-Jose-CA-95131/19562360_zpid/,Sold
"1354 Tea Rose Cir, San Jose, CA 95131",95131,750000.0,Sold 06/07/2019,1993,435.0,CONDO,2875,622200.0,2,2.0,1006,37.387752,-121.893985,https://www.zillow.com/homedetails/1354-Tea-Rose-Cir-San-Jose-CA-95131/19563569_zpid/,Sold
"1087 Harebell Pl, San Jose, CA 95131",95131,1090000.0,Sold 06/04/2019,2015,644.0,TOWNHOUSE,3500,860975.0,2,4.0,1622,37.379191,-121.89609,https://www.zillow.com/homedetails/1087-Harebell-Pl-San-Jose-CA-95131/166731817_zpid/,Sold
"1597 Shore Dr, San Jose, CA 95131",95131,980000.0,Sold 06/04/2019,2014,4235.0,TOWNHOUSE,3800,987106.0,2,2.0,1198,37.373191,-121.88025,https://www.zillow.com/homedetails/1597-Shore-Dr-San-Jose-CA-95131/122249058_zpid/,Sold
"1521 Fairway Green Cir, San Jose, CA 95131",95131,750000.0,Sold 05/31/2019,1988,1842.0,TOWNHOUSE,3000,296843.0,2,2.0,1098,37.377885,-121.884986,https://www.zillow.com/homedetails/1521-Fairway-Green-Cir-San-Jose-CA-95131/19561243_zpid/,Sold
"1075 Eagle Way, San Jose, CA 95131",95131,1210000.0,Sold 05/31/2019,2014,435.0,CONDO,3625,932845.0,3,3.0,1851,37.372164,-121.881146,https://www.zillow.com/homedetails/1075-Eagle-Way-San-Jose-CA-95131/124744394_zpid/,Sold
"1910 Beaufort Ter, San Jose, CA 95131",95131,1130000.0,Sold 05/30/2019,1996,1306.0,TOWNHOUSE,3500,706750.0,3,3.0,1651,37.386686,-121.896172,https://www.zillow.com/homedetails/1910-Beaufort-Ter-San-Jose-CA-95131/19563055_zpid/,Sold
"1578 Shanghai Cir, San Jose, CA 95131",95131,1060000.0,Sold 05/24/2019,1992,2613.0,CONDO,3400,806446.0,3,2.5,1666,37.384055,-121.890856,https://www.zillow.com/homedetails/1578-Shanghai-Cir-San-Jose-CA-95131/19561923_zpid/,Sold
