address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"892 Canoas Creek Cir, San Jose, CA 95136",95136,1218875.0,Sold 07/11/2019,2001,5100.0,SINGLE_FAMILY,4200,774107.0,4,4.0,2572,37.282594,-121.870293,https://www.zillow.com/homedetails/892-Canoas-Creek-Cir-San-Jose-CA-95136/54771120_zpid/,Sold
"301 Greenpark Way, San Jose, CA 95136",95136,950000.0,Sold 07/11/2019,1971,6316.0,SINGLE_FAMILY,3500,867000.0,3,2.0,1442,37.2667,-121.841247,https://www.zillow.com/homedetails/301-Greenpark-Way-San-Jose-CA-95136/19705409_zpid/,Sold
"4587 Huntington Ln, San Jose, CA 95136",95136,905000.0,Sold 07/11/2019,2017,1524.0,TOWNHOUSE,3500,809990.0,3,3.0,1990,37.265487,-121.869412,https://www.zillow.com/homedetails/4587-Huntington-Ln-San-Jose-CA-95136/251434904_zpid/,Sold
"60 Park Sharon Dr, San Jose, CA 95136",95136,980000.0,Sold 07/10/2019,1977,7771.0,SINGLE_FAMILY,3900,171652.0,4,3.0,2124,37.268623,-121.824839,https://www.zillow.com/homedetails/60-Park-Sharon-Dr-San-Jose-CA-95136/19817755_zpid/,Sold
"3300 Narvaez Ave SPACE 58, San Jose, CA 95136",95136,238000.0,Sold 07/08/2019,-1,47045.0,MANUFACTURED,2900,71957.0,0,,,37.276635,-121.863132,https://www.zillow.com/homedetails/3300-Narvaez-Ave-SPACE-58-San-Jose-CA-95136/153386237_zpid/,Sold
"3300 Narvaez Ave SPC 58, San Jose, CA 95136",95136,238000.0,Sold 07/08/2019,1999,-1.0,MANUFACTURED,3500,,3,2.0,1508,37.276635,-121.863132,https://www.zillow.com/homedetails/3300-Narvaez-Ave-SPC-58-San-Jose-CA-95136/2086843533_zpid/,Sold
"3106 Summercreek Dr, San Jose, CA 95136",95136,910000.0,Sold 07/08/2019,1982,3227.0,SINGLE_FAMILY,3500,577752.0,4,3.0,1787,37.280769,-121.866692,https://www.zillow.com/homedetails/3106-Summercreek-Dr-San-Jose-CA-95136/19700590_zpid/,Sold
"4469 Faraone Ct, San Jose, CA 95136",95136,1100000.0,Sold 07/03/2019,1970,6838.0,SINGLE_FAMILY,3995,817720.0,5,3.0,2450,37.266829,-121.860972,https://www.zillow.com/homedetails/4469-Faraone-Ct-San-Jose-CA-95136/19702969_zpid/,Sold
"206 Truckee Ln, San Jose, CA 95136",95136,530000.0,Sold 07/03/2019,1973,1470.0,CONDO,2650,424841.0,2,2.0,875,37.273562,-121.840665,https://www.zillow.com/homedetails/206-Truckee-Ln-San-Jose-CA-95136/19705906_zpid/,Sold
"522 Cityscape Pl, San Jose, CA 95136",95136,690000.0,Sold 07/02/2019,1997,544.0,CONDO,2900,383244.0,2,2.0,1073,37.277167,-121.858399,https://www.zillow.com/homedetails/522-Cityscape-Pl-San-Jose-CA-95136/19706795_zpid/,Sold
"4781 Archbow Ct, San Jose, CA 95136",95136,696000.0,Sold 07/02/2019,1988,436.0,CONDO,3295,458078.0,3,3.0,1360,37.267297,-121.823688,https://www.zillow.com/homedetails/4781-Archbow-Ct-San-Jose-CA-95136/19817324_zpid/,Sold
"4996 Narvaez Ave, San Jose, CA 95136",95136,1015000.0,Sold 07/01/2019,1976,6054.0,SINGLE_FAMILY,3790,259304.0,5,3.0,2329,37.264558,-121.85489,https://www.zillow.com/homedetails/4996-Narvaez-Ave-San-Jose-CA-95136/19706132_zpid/,Sold
"3637 Snell Ave SPC 59, San Jose, CA 95136",95136,240000.0,Sold 07/01/2019,1971,-1.0,MANUFACTURED,3300,,2,2.0,1488,37.279505,-121.84588,https://www.zillow.com/homedetails/3637-Snell-Ave-SPC-59-San-Jose-CA-95136/2085655258_zpid/,Sold
"4636 Columbia River Ct, San Jose, CA 95136",95136,730000.0,Sold 07/01/2019,-1,1742.0,SINGLE_FAMILY,3495,651290.0,3,3.0,1441,37.26423,-121.864228,https://www.zillow.com/homedetails/4636-Columbia-River-Ct-San-Jose-CA-95136/19701902_zpid/,Sold
"839 Hermiston Dr, San Jose, CA 95136",95136,1107000.0,Sold 07/01/2019,1967,6603.0,SINGLE_FAMILY,3750,366809.0,4,2.0,1847,37.271715,-121.865288,https://www.zillow.com/homedetails/839-Hermiston-Dr-San-Jose-CA-95136/19703253_zpid/,Sold
"3159 Saint Florian Way, San Jose, CA 95136",95136,740000.0,Sold 06/28/2019,2004,1698.0,CONDO,2900,612000.0,2,2.0,1104,37.284266,-121.859321,https://www.zillow.com/homedetails/3159-Saint-Florian-Way-San-Jose-CA-95136/64807549_zpid/,Sold
"5125 Baralay Pl, San Jose, CA 95136",95136,930000.0,Sold 06/28/2019,1972,7374.0,SINGLE_FAMILY,3800,379100.0,4,2.0,1915,37.26059,-121.828217,https://www.zillow.com/homedetails/5125-Baralay-Pl-San-Jose-CA-95136/19817520_zpid/,Sold
"4523 Windsor Park Dr, San Jose, CA 95136",95136,1027000.0,Video Walkthrough,1970,6808.0,SINGLE_FAMILY,3600,844750.0,3,3.0,1903,37.267401,-121.850262,https://www.zillow.com/homedetails/4523-Windsor-Park-Dr-San-Jose-CA-95136/19704666_zpid/,Sold
"5426 Fraschini Cir, San Jose, CA 95136",95136,770000.0,Sold 06/28/2019,1985,6135.0,SINGLE_FAMILY,3200,300024.0,3,2.0,1123,37.258791,-121.834144,https://www.zillow.com/homedetails/5426-Fraschini-Cir-San-Jose-CA-95136/19707112_zpid/,Sold
"3014 Henry Miller Pl, San Jose, CA 95136",95136,1150000.0,Sold 06/27/2019,2017,2134.0,SINGLE_FAMILY,3395,992817.0,4,4.0,2153,37.284136,-121.851766,https://www.zillow.com/homedetails/3014-Henry-Miller-Pl-San-Jose-CA-95136/243085330_zpid/,Sold
"485 Barron Park Ct, San Jose, CA 95136",95136,1065000.0,Sold 06/27/2019,1973,6137.0,SINGLE_FAMILY,3850,779224.0,4,3.0,2124,37.261649,-121.849199,https://www.zillow.com/homedetails/485-Barron-Park-Ct-San-Jose-CA-95136/19706906_zpid/,Sold
"649 Shadow Creek Dr # 649, San Jose, CA 95136",95136,281500.0,Sold 06/27/2019,1974,-1.0,MANUFACTURED,3337,,2,2.0,1440,37.278498,-121.862715,https://www.zillow.com/homedetails/649-Shadow-Creek-Dr-649-San-Jose-CA-95136/2084411271_zpid/,Sold
"5295 War Wagon Dr, San Jose, CA 95136",95136,1000000.0,Sold 06/26/2019,1981,6098.0,SINGLE_FAMILY,3600,442384.0,4,2.0,1632,37.259132,-121.821637,https://www.zillow.com/homedetails/5295-War-Wagon-Dr-San-Jose-CA-95136/19817268_zpid/,Sold
"3231 Amidy Garden Way, San Jose, CA 95136",95136,790000.0,Sold 06/25/2019,2010,1244.0,CONDO,3550,526330.0,3,4.0,1735,37.28097,-121.858763,https://www.zillow.com/homedetails/3231-Amidy-Garden-Way-San-Jose-CA-95136/121042192_zpid/,Sold
"331 Marble Arch Ave, San Jose, CA 95136",95136,940000.0,Sold 06/25/2019,2002,871.0,CONDO,3695,584416.0,4,3.0,2088,37.281228,-121.85498,https://www.zillow.com/homedetails/331-Marble-Arch-Ave-San-Jose-CA-95136/61322989_zpid/,Sold
"629 Adeline Ave, San Jose, CA 95136",95136,708000.0,Sold 06/24/2019,2005,1306.0,CONDO,2950,522102.0,2,2.0,1104,37.285775,-121.860286,https://www.zillow.com/homedetails/629-Adeline-Ave-San-Jose-CA-95136/64801808_zpid/,Sold
"4168 Monet Cir, San Jose, CA 95136",95136,985000.0,Sold 06/24/2019,1971,7139.0,SINGLE_FAMILY,3900,881728.0,4,2.0,1862,37.271796,-121.83847,https://www.zillow.com/homedetails/4168-Monet-Cir-San-Jose-CA-95136/19705765_zpid/,Sold
"3300 Narvaez Ave SPC 143, San Jose, CA 95136",95136,237000.0,Sold 06/21/2019,1999,-1.0,MANUFACTURED,3500,,3,2.0,1450,37.276635,-121.863132,https://www.zillow.com/homedetails/3300-Narvaez-Ave-SPC-143-San-Jose-CA-95136/2084522643_zpid/,Sold
"3334 City Lights Pl, San Jose, CA 95136",95136,785000.0,Sold 06/21/2019,1997,4255.0,CONDO,3500,487012.0,3,3.0,1443,37.277073,-121.856847,https://www.zillow.com/homedetails/3334-City-Lights-Pl-San-Jose-CA-95136/19706729_zpid/,Sold
"4655 Columbia River Ct, San Jose, CA 95136",95136,400000.0,Sold 06/21/2019,1973,1848.0,CONDO,3500,539019.0,4,2.5,1760,37.263802,-121.864769,https://www.zillow.com/homedetails/4655-Columbia-River-Ct-San-Jose-CA-95136/19701884_zpid/,Sold
"766 Batista Dr, San Jose, CA 95136",95136,1011000.0,Sold 06/21/2019,2005,2134.0,SINGLE_FAMILY,3700,415929.0,3,3.0,2099,37.286942,-121.863535,https://www.zillow.com/homedetails/766-Batista-Dr-San-Jose-CA-95136/69303248_zpid/,Sold
"5252 Rio Lobo Dr, San Jose, CA 95136",95136,1050000.0,Sold 06/19/2019,1982,6329.0,SINGLE_FAMILY,3800,677923.0,4,3.0,2053,37.259543,-121.821899,https://www.zillow.com/homedetails/5252-Rio-Lobo-Dr-San-Jose-CA-95136/19817276_zpid/,Sold
"364 Viewpark Cir, San Jose, CA 95136",95136,899000.0,Sold 06/18/2019,1968,5227.0,SINGLE_FAMILY,3480,374751.0,3,2.0,1260,37.271721,-121.847608,https://www.zillow.com/homedetails/364-Viewpark-Cir-San-Jose-CA-95136/19705617_zpid/,Sold
"437 River Rock Ct, San Jose, CA 95136",95136,1200000.0,Sold 06/14/2019,1995,3545.0,SINGLE_FAMILY,3950,634742.0,4,3.0,2125,37.277888,-121.853578,https://www.zillow.com/homedetails/437-River-Rock-Ct-San-Jose-CA-95136/19706545_zpid/,Sold
"1015 Glenridge Dr, San Jose, CA 95136",95136,1198000.0,Sold 06/14/2019,1968,10031.0,SINGLE_FAMILY,3800,129785.0,4,2.0,1836,37.268709,-121.873601,https://www.zillow.com/homedetails/1015-Glenridge-Dr-San-Jose-CA-95136/19702504_zpid/,Sold
"87 Park Oxford Pl, San Jose, CA 95136",95136,1105000.0,Sold 06/14/2019,1978,6730.0,SINGLE_FAMILY,3995,731902.0,5,3.0,2563,37.269256,-121.826231,https://www.zillow.com/homedetails/87-Park-Oxford-Pl-San-Jose-CA-95136/19817777_zpid/,Sold
"546 Altino Blvd, San Jose, CA 95136",95136,875000.0,Sold 06/14/2019,2004,1481.0,CONDO,3450,650434.0,2,3.0,1734,37.285408,-121.859343,https://www.zillow.com/homedetails/546-Altino-Blvd-San-Jose-CA-95136/64603119_zpid/,Sold
"230 Vista Roma Way, San Jose, CA 95136",95136,920000.0,Sold 06/12/2019,2004,1433.0,TOWNHOUSE,3750,801108.0,4,3.0,1878,37.275398,-121.845895,https://www.zillow.com/homedetails/230-Vista-Roma-Way-San-Jose-CA-95136/64569132_zpid/,Sold
"448 River Rock Ct, San Jose, CA 95136",95136,1102000.0,Sold 06/12/2019,1995,4351.0,SINGLE_FAMILY,3600,764928.0,3,3.0,1704,37.277435,-121.853725,https://www.zillow.com/homedetails/448-River-Rock-Ct-San-Jose-CA-95136/19706536_zpid/,Sold
"5031 Broken Arrow Dr, San Jose, CA 95136",95136,660000.0,Sold 06/11/2019,1986,436.0,CONDO,3200,495386.0,2,3.0,1196,37.264282,-121.822457,https://www.zillow.com/homedetails/5031-Broken-Arrow-Dr-San-Jose-CA-95136/19818587_zpid/,Sold
"4722 Tina Speciale Dr, San Jose, CA 95136",95136,1100000.0,Sold 06/11/2019,2016,3393.0,SINGLE_FAMILY,3950,1118430.0,4,2.5,2234,37.26282,-121.863731,https://www.zillow.com/homedetails/4722-Tina-Speciale-Dr-San-Jose-CA-95136/166731438_zpid/,Sold
