address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"3427 Rosedale Dr, San Jose, CA 95117",95117,1197000.0,Sold 07/08/2019,1955,8119.0,SINGLE_FAMILY,3900,693496.0,3,2.0,1291,37.313512,-121.958236,https://www.zillow.com/homedetails/3427-Rosedale-Dr-San-Jose-CA-95117/19605947_zpid/,Sold
"790 Daffodil Way, San Jose, CA 95117",95117,1330000.0,Sold 07/03/2019,1962,6033.0,SINGLE_FAMILY,4000,102987.0,4,2.0,1370,37.312763,-121.970878,https://www.zillow.com/homedetails/790-Daffodil-Way-San-Jose-CA-95117/19605465_zpid/,Sold
"3550 Alden Way, San Jose, CA 95117",95117,635000.0,Sold 07/02/2019,1963,-1.0,APARTMENT,2750,,2,1.5,986,37.322058,-121.961785,https://www.zillow.com/homedetails/3550-Alden-Way-San-Jose-CA-95117/2104709881_zpid/,Sold
"3550 Alden Way APT 15, San Jose, CA 95117",95117,635000.0,Sold 07/02/2019,1963,509.0,TOWNHOUSE,2920,428760.0,2,2.0,941,37.322058,-121.961785,https://www.zillow.com/homedetails/3550-Alden-Way-APT-15-San-Jose-CA-95117/19608453_zpid/,Sold
"1131 Boynton Ave, San Jose, CA 95117",95117,850000.0,Sold 07/02/2019,1958,6000.0,SINGLE_FAMILY,3495,362812.0,3,2.0,1140,37.305501,-121.966318,https://www.zillow.com/homedetails/1131-Boynton-Ave-San-Jose-CA-95117/19604562_zpid/,Sold
"386 Cypress Ave, San Jose, CA 95117",95117,1315000.0,Sold 07/02/2019,2005,3262.0,SINGLE_FAMILY,4000,924798.0,3,3.0,1750,37.320958,-121.959508,https://www.zillow.com/homedetails/386-Cypress-Ave-San-Jose-CA-95117/64756557_zpid/,Sold
"1331 Charmwood Sq, San Jose, CA 95117",95117,988000.0,Sold 06/26/2019,1972,1440.0,TOWNHOUSE,3300,785502.0,2,2.0,1152,37.300914,-121.960147,https://www.zillow.com/homedetails/1331-Charmwood-Sq-San-Jose-CA-95117/19609073_zpid/,Sold
"3567 Sunnylake Ct, San Jose, CA 95117",95117,1635000.0,Sold 06/19/2019,1980,6098.0,SINGLE_FAMILY,4450,140937.0,4,3.0,2254,37.302615,-121.962472,https://www.zillow.com/homedetails/3567-Sunnylake-Ct-San-Jose-CA-95117/19603893_zpid/,Sold
"3385 Payne Ave, San Jose, CA 95117",95117,1375000.0,Sold 06/18/2019,1967,7043.0,MULTI_FAMILY,3000,1053853.0,0,,2254,37.301816,-121.957359,https://www.zillow.com/homedetails/3385-Payne-Ave-San-Jose-CA-95117/153275912_zpid/,Sold
"485 Bundy Ave, San Jose, CA 95117",95117,1289000.0,Sold 06/14/2019,1955,9578.0,SINGLE_FAMILY,3850,101517.0,4,2.0,1498,37.318889,-121.958808,https://www.zillow.com/homedetails/485-Bundy-Ave-San-Jose-CA-95117/19608134_zpid/,Sold
"3128 Loma Verde Dr APT 313, San Jose, CA 95117",95117,696000.0,Sold 06/14/2019,2007,250.0,CONDO,2800,441382.0,2,2.0,915,37.298561,-121.950935,https://www.zillow.com/homedetails/3128-Loma-Verde-Dr-APT-313-San-Jose-CA-95117/82954602_zpid/,Sold
"3199 Chivas Pl, San Jose, CA 95117",95117,1150000.0,Sold 06/12/2019,1988,1742.0,CONDO,3900,362818.0,3,3.0,1725,37.301841,-121.952868,https://www.zillow.com/homedetails/3199-Chivas-Pl-San-Jose-CA-95117/19603615_zpid/,Sold
"1136 Welch Ave, San Jose, CA 95117",95117,1200000.0,Sold 06/11/2019,1958,5932.0,SINGLE_FAMILY,3500,1050600.0,3,2.0,1140,37.305321,-121.966661,https://www.zillow.com/homedetails/1136-Welch-Ave-San-Jose-CA-95117/19604537_zpid/,Sold
