address,postal_code,price,dateSold,yearBuilt,lotSize,homeType,rentZestimate,taxAssessedValue,bedrooms,bathrooms,area,latitude,longitude,url,title
"5293 Amelia Dr, San Jose, CA 95118",95118,925000.0,Sold 07/10/2019,1960,6777.0,SINGLE_FAMILY,3500,151699.0,4,2.0,1095,37.245683,-121.897071,https://www.zillow.com/homedetails/5293-Amelia-Dr-San-Jose-CA-95118/19757619_zpid/,Sold
"5254 Dellwood Way, San Jose, CA 95118",95118,1060000.0,Sold 07/10/2019,1960,6699.0,SINGLE_FAMILY,3600,770315.0,3,2.0,1544,37.250653,-121.88915,https://www.zillow.com/homedetails/5254-Dellwood-Way-San-Jose-CA-95118/19757072_zpid/,Sold
"1529 Calle De Stuarda, San Jose, CA 95118",95118,1450000.0,Sold 07/10/2019,1975,6878.0,SINGLE_FAMILY,4200,362224.0,3,2.0,1614,37.26123,-121.894575,https://www.zillow.com/homedetails/1529-Calle-De-Stuarda-San-Jose-CA-95118/19699218_zpid/,Sold
"5693 Tubac Ln, San Jose, CA 95118",95118,1025000.0,Sold 07/09/2019,1955,6098.0,SINGLE_FAMILY,3490,70796.0,3,2.0,1176,37.241666,-121.886436,https://www.zillow.com/homedetails/5693-Tubac-Ln-San-Jose-CA-95118/19755502_zpid/,Sold
"3031 Jenkins Ave, San Jose, CA 95118",95118,1365555.0,Sold 07/09/2019,1971,6555.0,SINGLE_FAMILY,4395,782271.0,5,2.0,2079,37.27481,-121.88953,https://www.zillow.com/homedetails/3031-Jenkins-Ave-San-Jose-CA-95118/19696368_zpid/,Sold
"1269 Karie Ann Way, San Jose, CA 95118",95118,950000.0,Sold 07/05/2019,1967,6333.0,SINGLE_FAMILY,3500,202447.0,3,2.0,1575,37.273179,-121.884295,https://www.zillow.com/homedetails/1269-Karie-Ann-Way-San-Jose-CA-95118/19696842_zpid/,Sold
"1580 Sabina Way, San Jose, CA 95118",95118,1105000.0,Sold 07/03/2019,1961,6616.0,SINGLE_FAMILY,3428,431907.0,3,2.0,1100,37.246789,-121.900216,https://www.zillow.com/homedetails/1580-Sabina-Way-San-Jose-CA-95118/19758163_zpid/,Sold
"1582 Chambers Dr, San Jose, CA 95118",95118,1300000.0,Sold 07/03/2019,1963,6298.0,SINGLE_FAMILY,4250,545598.0,4,3.0,1984,37.266469,-121.900927,https://www.zillow.com/homedetails/1582-Chambers-Dr-San-Jose-CA-95118/19694694_zpid/,Sold
"1368 Shawn Dr UNIT 2, San Jose, CA 95118",95118,510000.0,Sold 07/02/2019,1970,435.0,CONDO,2500,240498.0,2,1.0,903,37.258692,-121.887386,https://www.zillow.com/homedetails/1368-Shawn-Dr-UNIT-2-San-Jose-CA-95118/19759546_zpid/,Sold
"5754 Croydon Ave, San Jose, CA 95118",95118,1289000.0,Sold 07/02/2019,1962,6141.0,SINGLE_FAMILY,3800,294363.0,4,2.0,1555,37.243602,-121.881056,https://www.zillow.com/homedetails/5754-Croydon-Ave-San-Jose-CA-95118/19755750_zpid/,Sold
"4791 Calle De Tosca, San Jose, CA 95118",95118,1300000.0,Sold 07/01/2019,1975,6403.0,SINGLE_FAMILY,3900,439798.0,3,2.0,1426,37.256558,-121.896635,https://www.zillow.com/homedetails/4791-Calle-De-Tosca-San-Jose-CA-95118/19699346_zpid/,Sold
"1036 Cedar Gables Dr, San Jose, CA 95118",95118,585000.0,3D Home,1985,884.0,CONDO,2600,195622.0,2,2.0,824,37.26123,-121.877226,https://www.zillow.com/homedetails/1036-Cedar-Gables-Dr-San-Jose-CA-95118/19760142_zpid/,Sold
"1368 Oslo Ln, San Jose, CA 95118",95118,1050000.0,Sold 06/28/2019,1962,5998.0,SINGLE_FAMILY,3500,589783.0,4,2.0,1282,37.23848,-121.887501,https://www.zillow.com/homedetails/1368-Oslo-Ln-San-Jose-CA-95118/19755355_zpid/,Sold
"4856 Speak Ln, San Jose, CA 95118",95118,705000.0,Sold 06/28/2019,1989,1232.0,CONDO,3300,624240.0,3,2.5,1155,37.260633,-121.87885,https://www.zillow.com/homedetails/4856-Speak-Ln-San-Jose-CA-95118/19760179_zpid/,Sold
"1587 Rebel Way, San Jose, CA 95118",95118,978000.0,Sold 06/28/2019,1966,6400.0,SINGLE_FAMILY,3600,522980.0,3,,1454,37.250247,-121.901399,https://www.zillow.com/homedetails/1587-Rebel-Way-San-Jose-CA-95118/19759267_zpid/,Sold
"1552 San Joaquin Ave, San Jose, CA 95118",95118,990000.0,Sold 06/28/2019,1954,5662.0,SINGLE_FAMILY,3500,832320.0,3,2.0,1214,37.270748,-121.899245,https://www.zillow.com/homedetails/1552-San-Joaquin-Ave-San-Jose-CA-95118/19693451_zpid/,Sold
"1550 Rose Anna Dr, San Jose, CA 95118",95118,60000.0,Sold 06/28/2019,1959,6534.0,SINGLE_FAMILY,4000,791862.0,3,2.0,1624,37.245564,-121.899051,https://www.zillow.com/homedetails/1550-Rose-Anna-Dr-San-Jose-CA-95118/19757679_zpid/,Sold
"1304 Mary Lee Way, San Jose, CA 95118",95118,1062000.0,Sold 06/27/2019,1960,6499.0,SINGLE_FAMILY,3600,863531.0,3,2.0,1425,37.271425,-121.88531,https://www.zillow.com/homedetails/1304-Mary-Lee-Way-San-Jose-CA-95118/19696939_zpid/,Sold
"4009 Laurelglen Ct, San Jose, CA 95118",95118,1057500.0,Sold 06/27/2019,1966,6041.0,SINGLE_FAMILY,3550,71011.0,3,2.0,1475,37.266221,-121.882965,https://www.zillow.com/homedetails/4009-Laurelglen-Ct-San-Jose-CA-95118/19698947_zpid/,Sold
"1517 Santa Monica Ave, San Jose, CA 95118",95118,1280000.0,Sold 06/27/2019,1954,5998.0,SINGLE_FAMILY,3500,959000.0,4,3.0,1881,37.271145,-121.896804,https://www.zillow.com/homedetails/1517-Santa-Monica-Ave-San-Jose-CA-95118/19693432_zpid/,Sold
"3185 Ensalmo Ave, San Jose, CA 95118",95118,1025000.0,Sold 06/25/2019,1953,5009.0,SINGLE_FAMILY,3430,279500.0,3,2.0,1140,37.268761,-121.904297,https://www.zillow.com/homedetails/3185-Ensalmo-Ave-San-Jose-CA-95118/19693670_zpid/,Sold
"5640 Domaine Dr, San Jose, CA 95118",95118,1820000.0,Sold 06/25/2019,1994,7418.0,SINGLE_FAMILY,5550,1385283.0,5,3.0,2565,37.238121,-121.894928,https://www.zillow.com/homedetails/5640-Domaine-Dr-San-Jose-CA-95118/19756605_zpid/,Sold
"3402 Wilcox Ave, San Jose, CA 95118",95118,1160000.0,Sold 06/25/2019,1960,10463.0,SINGLE_FAMILY,3850,313119.0,4,3.0,1789,37.267684,-121.89727,https://www.zillow.com/homedetails/3402-Wilcox-Ave-San-Jose-CA-95118/19694809_zpid/,Sold
"4462 Desin Dr, San Jose, CA 95118",95118,1450000.0,Sold 06/24/2019,1983,5995.0,SINGLE_FAMILY,4395,821068.0,4,3.0,2124,37.262465,-121.881853,https://www.zillow.com/homedetails/4462-Desin-Dr-San-Jose-CA-95118/19698728_zpid/,Sold
"4432 Desin Dr, San Jose, CA 95118",95118,1325000.0,Sold 06/07/2019,1983,6146.0,SINGLE_FAMILY,4395,1180854.0,4,3.0,2124,37.263189,-121.882131,https://www.zillow.com/homedetails/4432-Desin-Dr-San-Jose-CA-95118/19698733_zpid/,Sold
"2995 Foxstone Ct, San Jose, CA 95118",95118,2250000.0,Sold 06/06/2019,2011,7457.0,SINGLE_FAMILY,6000,1395333.0,5,4.0,3691,37.27601,-121.888428,https://www.zillow.com/homedetails/2995-Foxstone-Ct-San-Jose-CA-95118/116156104_zpid/,Sold
"1565 Trevor Dr, San Jose, CA 95118",95118,1375000.0,Sold 06/06/2019,1966,6111.0,SINGLE_FAMILY,4000,373283.0,3,2.0,1454,37.248741,-121.900848,https://www.zillow.com/homedetails/1565-Trevor-Dr-San-Jose-CA-95118/19758262_zpid/,Sold
"1313 Los Palos Way, San Jose, CA 95118",95118,18000.0,Sold 06/05/2019,1966,6077.0,SINGLE_FAMILY,4300,458454.0,5,2.5,2148,37.264853,-121.884692,https://www.zillow.com/homedetails/1313-Los-Palos-Way-San-Jose-CA-95118/19697575_zpid/,Sold
"1118 Dinkel Ct, San Jose, CA 95118",95118,840000.0,Sold 06/04/2019,1981,1568.0,TOWNHOUSE,3450,497836.0,3,3.0,1573,37.260098,-121.877156,https://www.zillow.com/homedetails/1118-Dinkel-Ct-San-Jose-CA-95118/19759998_zpid/,Sold
"1577 Silvercrest Dr, San Jose, CA 95118",95118,1175000.0,Sold 05/31/2019,1961,6150.0,SINGLE_FAMILY,3850,161455.0,4,2.0,1407,37.261567,-121.899711,https://www.zillow.com/homedetails/1577-Silvercrest-Dr-San-Jose-CA-95118/19698041_zpid/,Sold
